Manager     : Starting ensemble at: 2026-02-01 19:41:52.545
Manager     : Exiting ensemble at: 2026-02-01 19:41:52.552 Time Taken: 0.007
Manager     : Starting ensemble at: 2026-02-01 19:43:36.837
Manager     : Exiting ensemble at: 2026-02-01 19:43:36.852 Time Taken: 0.015
Manager     : Starting ensemble at: 2026-02-01 19:52:15.909
Manager     : Exiting ensemble at: 2026-02-01 19:52:15.922 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:56:02.775
Manager     : Exiting ensemble at: 2026-02-01 19:56:02.788 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:57:30.510
Worker     3: sim_id    40: sim Time: 0.000 Start: 2026-02-01 20:08:51.323 End: 2026-02-01 20:08:51.323 Status: Not set
Worker     1: sim_id    42: sim Time: 0.000 Start: 2026-02-01 20:08:51.326 End: 2026-02-01 20:08:51.326 Status: Not set
Worker     2: sim_id    43: sim Time: 0.000 Start: 2026-02-01 20:08:51.327 End: 2026-02-01 20:08:51.327 Status: Not set
Worker     1: sim_id    44: sim Time: 0.001 Start: 2026-02-01 20:08:51.330 End: 2026-02-01 20:08:51.331 Status: Not set
Worker     2: sim_id    45: sim Time: 0.000 Start: 2026-02-01 20:08:51.331 End: 2026-02-01 20:08:51.331 Status: Not set
Worker     1: sim_id    46: sim Time: 0.000 Start: 2026-02-01 20:08:51.548 End: 2026-02-01 20:08:51.548 Status: Not set
Worker     2: sim_id    47: sim Time: 0.000 Start: 2026-02-01 20:08:51.549 End: 2026-02-01 20:08:51.549 Status: Not set
Worker     2: sim_id    49: sim Time: 0.000 Start: 2026-02-01 20:08:51.554 End: 2026-02-01 20:08:51.554 Status: Not set
Worker     1: sim_id    48: sim Time: 0.000 Start: 2026-02-01 20:08:51.554 End: 2026-02-01 20:08:51.554 Status: Not set
Worker     1: sim_id    50: sim Time: 0.000 Start: 2026-02-01 20:08:51.557 End: 2026-02-01 20:08:51.557 Status: Not set
Worker     2: sim_id    51: sim Time: 0.000 Start: 2026-02-01 20:08:51.557 End: 2026-02-01 20:08:51.557 Status: Not set
Worker     1: sim_id    52: sim Time: 0.000 Start: 2026-02-01 20:08:51.559 End: 2026-02-01 20:08:51.559 Status: Not set
Worker     2: sim_id    53: sim Time: 0.000 Start: 2026-02-01 20:08:51.560 End: 2026-02-01 20:08:51.560 Status: Not set
Worker     1: sim_id    54: sim Time: 0.000 Start: 2026-02-01 20:08:51.563 End: 2026-02-01 20:08:51.563 Status: Not set
Worker     2: sim_id    55: sim Time: 0.000 Start: 2026-02-01 20:08:51.563 End: 2026-02-01 20:08:51.563 Status: Not set
Worker     1: sim_id    56: sim Time: 0.000 Start: 2026-02-01 20:08:51.566 End: 2026-02-01 20:08:51.566 Status: Not set
Worker     2: sim_id    57: sim Time: 0.000 Start: 2026-02-01 20:08:51.567 End: 2026-02-01 20:08:51.567 Status: Not set
Worker     1: sim_id    58: sim Time: 0.000 Start: 2026-02-01 20:08:51.570 End: 2026-02-01 20:08:51.570 Status: Not set
Worker     2: sim_id    59: sim Time: 0.000 Start: 2026-02-01 20:08:51.571 End: 2026-02-01 20:08:51.571 Status: Not set
Worker     1: sim_id    60: sim Time: 0.000 Start: 2026-02-01 20:08:51.574 End: 2026-02-01 20:08:51.574 Status: Not set
Worker     2: sim_id    61: sim Time: 0.000 Start: 2026-02-01 20:08:51.574 End: 2026-02-01 20:08:51.574 Status: Not set
Worker     1: sim_id    62: sim Time: 0.000 Start: 2026-02-01 20:08:51.578 End: 2026-02-01 20:08:51.578 Status: Not set
Worker     2: sim_id    63: sim Time: 0.000 Start: 2026-02-01 20:08:51.579 End: 2026-02-01 20:08:51.579 Status: Not set
Worker     1: sim_id    64: sim Time: 0.000 Start: 2026-02-01 20:08:51.583 End: 2026-02-01 20:08:51.583 Status: Not set
Worker     2: sim_id    65: sim Time: 0.000 Start: 2026-02-01 20:08:51.584 End: 2026-02-01 20:08:51.584 Status: Not set
Worker     1: sim_id    66: sim Time: 0.000 Start: 2026-02-01 20:08:51.586 End: 2026-02-01 20:08:51.586 Status: Not set
Worker     2: sim_id    67: sim Time: 0.000 Start: 2026-02-01 20:08:51.587 End: 2026-02-01 20:08:51.587 Status: Not set
Worker     2: sim_id    69: sim Time: 0.000 Start: 2026-02-01 20:08:51.591 End: 2026-02-01 20:08:51.591 Status: Not set
Worker     1: sim_id    68: sim Time: 0.000 Start: 2026-02-01 20:08:51.592 End: 2026-02-01 20:08:51.592 Status: Not set
Worker     1: sim_id    70: sim Time: 0.000 Start: 2026-02-01 20:08:51.596 End: 2026-02-01 20:08:51.596 Status: Not set
Worker     2: sim_id    71: sim Time: 0.000 Start: 2026-02-01 20:08:51.596 End: 2026-02-01 20:08:51.596 Status: Not set
Worker     1: sim_id    72: sim Time: 0.000 Start: 2026-02-01 20:08:51.601 End: 2026-02-01 20:08:51.601 Status: Not set
Worker     2: sim_id    73: sim Time: 0.000 Start: 2026-02-01 20:08:51.601 End: 2026-02-01 20:08:51.601 Status: Not set
Worker     2: sim_id    75: sim Time: 0.000 Start: 2026-02-01 20:08:51.607 End: 2026-02-01 20:08:51.607 Status: Not set
Worker     1: sim_id    74: sim Time: 0.000 Start: 2026-02-01 20:08:51.608 End: 2026-02-01 20:08:51.608 Status: Not set
Worker     1: sim_id    76: sim Time: 0.000 Start: 2026-02-01 20:08:51.614 End: 2026-02-01 20:08:51.614 Status: Not set
Worker     2: sim_id    77: sim Time: 0.000 Start: 2026-02-01 20:08:51.615 End: 2026-02-01 20:08:51.615 Status: Not set
Worker     1: sim_id    78: sim Time: 0.000 Start: 2026-02-01 20:08:51.621 End: 2026-02-01 20:08:51.621 Status: Not set
Worker     2: sim_id    79: sim Time: 0.000 Start: 2026-02-01 20:08:51.622 End: 2026-02-01 20:08:51.622 Status: Not set
Worker     1: sim_id    80: sim Time: 0.001 Start: 2026-02-01 20:08:51.629 End: 2026-02-01 20:08:51.630 Status: Not set
Worker     2: sim_id    81: sim Time: 0.000 Start: 2026-02-01 20:08:51.629 End: 2026-02-01 20:08:51.629 Status: Not set
Worker     1: sim_id    82: sim Time: 0.000 Start: 2026-02-01 20:08:51.643 End: 2026-02-01 20:08:51.643 Status: Not set
Worker     2: sim_id    83: sim Time: 0.000 Start: 2026-02-01 20:08:51.643 End: 2026-02-01 20:08:51.643 Status: Not set
Worker     1: sim_id    84: sim Time: 0.000 Start: 2026-02-01 20:08:51.652 End: 2026-02-01 20:08:51.652 Status: Not set
Worker     2: sim_id    85: sim Time: 0.001 Start: 2026-02-01 20:08:51.652 End: 2026-02-01 20:08:51.653 Status: Not set
Worker     1: sim_id    86: sim Time: 0.000 Start: 2026-02-01 20:08:51.664 End: 2026-02-01 20:08:51.664 Status: Not set
Worker     2: sim_id    87: sim Time: 0.000 Start: 2026-02-01 20:08:51.665 End: 2026-02-01 20:08:51.665 Status: Not set
Worker     1: sim_id    88: sim Time: 0.001 Start: 2026-02-01 20:08:51.670 End: 2026-02-01 20:08:51.671 Status: Not set
Worker     2: sim_id    89: sim Time: 0.000 Start: 2026-02-01 20:08:51.672 End: 2026-02-01 20:08:51.672 Status: Not set
Worker     2: sim_id    91: sim Time: 0.000 Start: 2026-02-01 20:08:51.679 End: 2026-02-01 20:08:51.679 Status: Not set
Worker     1: sim_id    90: sim Time: 0.000 Start: 2026-02-01 20:08:51.680 End: 2026-02-01 20:08:51.680 Status: Not set
Worker     1: sim_id    92: sim Time: 0.000 Start: 2026-02-01 20:08:51.689 End: 2026-02-01 20:08:51.689 Status: Not set
Worker     2: sim_id    93: sim Time: 0.000 Start: 2026-02-01 20:08:51.690 End: 2026-02-01 20:08:51.690 Status: Not set
Worker     2: sim_id    95: sim Time: 0.001 Start: 2026-02-01 20:08:51.700 End: 2026-02-01 20:08:51.701 Status: Not set
Worker     1: sim_id    94: sim Time: 0.000 Start: 2026-02-01 20:08:51.701 End: 2026-02-01 20:08:51.701 Status: Not set
Worker     1: sim_id    96: sim Time: 0.000 Start: 2026-02-01 20:08:51.709 End: 2026-02-01 20:08:51.709 Status: Not set
